"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Dominica","DMA","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","",
"Denmark","DNK","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.8","2.5","2.5","3.6","3.6","3.6","3.6","3","3","3","3.2","3.9","4","4","",
"Dominican Republic","DOM","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","8.9","9.5","13.4","17.8","18.3","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","",
"Algeria","DZA","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.3","31.3","30.2","30.2","30.3","30.3","30.3","30.2","30.2","31.1","31.1","31.1","31.1","31.1","31.1","",
"East Asia & Pacific (excluding high income)","EAP","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","8.6","8.6","8.61764705882353","8.14117647058824","8.20588235294118","8.41176470588236","7.99444444444444","10.345","10.4","10.4","10.68","10.76","10.66","11.09","",
"Early-demographic dividend","EAR","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7905660377358","11.7603773584906","11.6685185185185","11.6814814814815","11.7759259259259","11.7888888888889","11.8555555555556","11.6642857142857","11.9901639344262","12.0754098360656","12.1573770491803","12.2311475409836","12.3639344262295","12.4885245901639","12.5852459016393","",
"East Asia & Pacific","EAS","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.16666666666667","9.16","9.212","9.312","8.96","9.004","9.36","9.22692307692308","11.0103448275862","11.0172413793103","11.0310344827586","11.2586206896552","11.3793103448276","11.3379310344828","11.6655172413793","",
"Europe & Central Asia (excluding high income)","ECA","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.275","26.2882352941176","24.7294117647059","24.6764705882353","21.5944444444444","20.9222222222222","20.1222222222222","20.1777777777778","20.4631578947368","19.4736842105263","19.5526315789474","19.4473684210526","18.5105263157895","18.4157894736842","18.5842105263158","",
"Europe & Central Asia","ECS","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7","27.5577777777778","26.8511111111111","26.4326086956522","25.1191489361702","24.6595744680851","24.4382978723404","24.5958333333333","24.5448979591837","24.1510204081633","24.2326530612245","24.065306122449","23.2265306122449","22.772","22.532","",
"Ecuador","ECU","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","",
