"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Egypt, Arab Rep.","EGY","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","7.4","5.8","3.6","3.5","3.5","3.5","3.5","3.5","4.4","4.4","4.4","4.4","4.4","4.4","",
"Euro area","EMU","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.425","1.95294117647059","1.7","1.63333333333333","1.73888888888889","1.6","2.1","2.77894736842105","1.78421052631579","1.79473684210526","1.8","1.68947368421053","1.71578947368421","1.72105263157895","1.71578947368421","",
"Eritrea","ERI","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8","75.8","75.8","75.8","76.8","75.8","75.8","75.8","74.6","74.6","74.6","74.6","74.6","74.6","74.6","",
"Spain","ESP","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.6","0.7","0.7","0.8","0.9","0.9","0.9","0.9","0.9","0.8","0.7","0.7","0.7","0.7","",
"Estonia","EST","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.7","0.7","0.7","1.6","1.2","10","19","2","2","2","2","2","2","2.1","",
"Ethiopia","ETH","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","",
"European Union","EUU","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.42083333333333","2.1","1.932","1.89230769230769","1.94615384615385","1.65384615384615","2.05185185185185","2.55185185185185","1.76666666666667","1.73703703703704","1.75185185185185","1.71851851851852","1.72962962962963","1.73333333333333","1.6962962962963","",
"Fragile and conflict affected situations","FCS","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2645161290322","47.93125","48.928125","48.290625","46.2848484848485","43.530303030303","34.9939393939394","31.6694444444444","23.0216216216216","17.5783783783784","17.4297297297297","17.6","18.4594594594595","18.6405405405405","18.0054054054054","",
"Finland","FIN","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1.2","1.2","1.2","1.3","1.3","1.3","1.3","1.5","1.5","",
"Fiji","FJI","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","",
