Pays_indic,Country Name,Country Code,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
BGR_Gross capital formation (% of GDP),Bulgaria,BGR,Gross capital formation (% of GDP),27.7396722508525,32.056335312598904,33.6272050901042,36.953304876627705,28.538221099266302,22.655159343682104,21.4673630307732,21.994664865858002,21.0825387393181,21.5752065856985,21.049053008320698,19.0060557807956,19.882424434028,21.256983121357997,FBCF
"BGR_Labor force, total",Bulgaria,BGR,"Labor force, total",3332860.0,3439496.0,3513246.0,3576562.0,3501096.0,3416502.0,3332676.0,3342114.0,3367629.0,3360383.0,3333802.0,3264392.0,3357160.0,3327614.0,labor_force
BGR_Labor tax and contributions (% of commercial profits),Bulgaria,BGR,Labor tax and contributions (% of commercial profits),35.8,33.4,26.6,26.8,22.9,20.4,19.2,20.2,20.2,20.2,20.2,20.2,20.2,20.8,labor_tax_contrib
BGR_Other taxes payable by businesses (% of commercial profits),Bulgaria,BGR,Other taxes payable by businesses (% of commercial profits),2.3,2.4,2.4,2.8,2.9,2.9,3.0,2.6,1.8,1.8,1.8,1.8,1.9,2.0,other_taxes_entreprise
"BGR_Population, total",Bulgaria,BGR,"Population, total",7658972.0,7601022.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,pop
BGR_Profit tax (% of commercial profits),Bulgaria,BGR,Profit tax (% of commercial profits),7.0,5.8,6.8,4.3,4.6,4.7,5.0,4.9,5.0,5.0,5.0,5.0,5.0,4.9,profit_tax
BGR_Research and development expenditure (% of GDP),Bulgaria,BGR,Research and development expenditure (% of GDP),0.44616999999999996,0.4454,0.43023999999999996,0.44787,0.4947,0.56387,0.53191,0.6047899999999999,0.6372399999999999,0.79377,0.96015,0.7800600000000001,0.75239,0.76803,RetD
BGR_Total tax and contribution rate (% of profit),Bulgaria,BGR,Total tax and contribution rate (% of profit),45.2,41.6,35.8,33.9,30.4,28.0,27.2,27.8,27.0,27.0,27.0,27.0,27.1,27.7,total_tax_contrib
"BGR_Unemployment, total (% of total labor force) (modeled ILO estimate)",Bulgaria,BGR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.083000183105499,8.95100021362305,6.877999782562259,5.60900020599365,6.81699991226196,10.2790002822876,11.2600002288818,12.270000457763699,12.940999984741199,11.423999786377001,9.14299964904785,7.574999809265139,6.16400003433228,5.21099996566772,unemployment rate
BLR_Exports of goods and services (% of GDP),Belarus,BLR,Exports of goods and services (% of GDP),59.7978087236099,60.061311769084206,60.94305271532121,60.9377552183976,48.8764618241933,51.3728853529564,78.4653615193087,78.7769072783938,58.3335781066769,54.941004057247,58.0107665670743,62.5093471231924,66.7896002012327,70.4550452625374,exports_rate
"BLR_Exports of goods and services, PPP (constant 2017 international $)",Belarus,BLR,"Exports of goods and services, PPP (constant 2017 international $)",69000062621.86383,76234524021.22539,84006121881.12402,92566698748.87912,74393635843.46735,84291107808.00803,135668383537.91388,138505050794.52414,103590898132.87291,99250610063.12318,100782877205.28883,105854642694.10414,115966886557.5139,126183655858.94301,exports
"BLR_Exports of goods and services, PPP (constant 2017 international $) per capita",Belarus,BLR,"_Exports of goods and services, PPP (constant 2017 international $) per capita",7139.969941981467,7937.025219692044,8786.375362489913,9715.243962797918,7825.336572794989,8881.552145743632,14321.325902022456,14634.17232451643,10943.47464222447,10475.539060867963,10620.332498732176,11140.795022583105,12209.271774033014,13305.601219438417,exports_hab
"BLR_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Belarus,BLR,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",13897.402743317385,15303.245231890807,16777.826020057233,18381.390774242005,14683.901167996491,16558.90283397468,26611.490082293956,27140.834197404085,20286.534908708036,19434.092507498124,19736.465046086763,20728.722697514746,22751.912845790765,24803.561769053846,exports_labor_unit
"BLR_Foreign direct investment, net inflows (% of GDP)",Belarus,BLR,"Foreign direct investment, net inflows (% of GDP)",1.0149774617279699,0.96632835858554,3.99161614279995,3.60068232879372,3.68851893113794,2.43505653333396,6.480801965857871,2.22820691918271,2.9738646182244106,2.3625292212252598,2.92676959277302,2.6128050216432004,2.33213850448518,2.3762618776861,IDE
"BLR_GDP per capita, PPP (constant 2017 international $)",Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",11940.186596105801,13214.87158024,14417.3535308989,15942.8976797373,16010.439955622,17288.404349343302,18251.7809447653,18576.7286760826,18760.16352402,19066.8868190919,18307.5196678406,17822.606594541798,18280.198919064198,18885.2354999668,gdb_hab
"BLR_GDP, PPP (constant 2017 international $)",Belarus,BLR,"GDP, PPP (constant 2017 international $)",115388948348.90599,126927837197.965,137843639493.308,151903689949.072,152207490204.709,164077036415.00302,172902260196.085,175819355671.141,177583651637.882,180649428903.24103,173731331560.254,169342102526.663,173630155305.786,179098111978.7,gdp
BLR_Gross capital formation (% of GDP),Belarus,BLR,Gross capital formation (% of GDP),28.4604661956657,32.1841371566982,34.0919031794272,37.6416510261128,36.864044455923796,40.6563662623236,37.217595078845896,35.0942730563184,38.7980262073973,34.8410329356421,29.0346959914608,26.4775827022928,28.0303589091824,28.0788785453202,FBCF
"BLR_Labor force, total",Belarus,BLR,"Labor force, total",4964961.0,4981592.0,5006973.0,5035892.0,5066340.0,5090380.0,5098113.0,5103198.0,5106387.0,5107036.0,5106430.0,5106665.0,5097017.0,5087320.0,labor_force
BLR_Labor tax and contributions (% of commercial profits),Belarus,BLR,Labor tax and contributions (% of commercial profits),44.1,44.1,44.1,39.6,39.6,39.3,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,labor_tax_contrib
