"country","temps","index","VA","Emploi","W","Productivite","LAB","chomage","pop","export","VA_pop","Part_lab","var","value","rate2010 in NAT/US$","Invest_pop","Emploi_scale"
"360","USA",2011,24,15327089,144639.75,35.1162279625684,99.9201736450195,8615410,8.94900035858154,311556874,7415.56303272293,0.000157901044860418,0.562103475748069,"Iq_GFCF",2779569,1,0.00892154605454155,4.38775430195954
"361","AUT",2012,1,283548.2,4205.16,25.624180334493,102.2751527076,183964.758279085,4.86499977111816,8429991,28898.3505914921,0.00528960671523091,0.648795366287231,"Iq_GFCF",68770.96875,0.754309,0.0081578934959717,-0.34020488284715
"362","BGR",2012,2,70988.7,3436.41,6.65382181610338,106.259796339762,40524.9413266182,12.2700004577637,7305888,10990.8514789751,0.000900217517710794,0.570864677429199,"Iq_GFCF",16157.666015625,1.477392,0.00221159508818435,-0.366086103587141
"363","CYP",2012,3,17288.3,392.75,14.8366749361596,101.879796686902,11150.1236475527,11.7950000762939,1135046,14985.7426499381,0.0177900052224715,0.644951999187469,"Iq_GFCF",3013.55249023438,0.754309,0.00265500472248206,-0.468555874406628
"364","CZE",2012,4,3648512,5064.62,224.822038731814,102.328751606294,2035921.12115479,6.97800016403198,10510785,25581.3426579416,0.00172922656910766,0.558014094829559,"Iq_GFCF",1042149,19.09825,0.0991504440439035,-0.311269762226411
"365","DEU",2012,5,2478596,42061,27.7819349080479,102.683979052327,1646774.99993944,5.37900018692017,80425823,23191.9061229353,0.000508002006300186,0.664398312568665,"Iq_GFCF",550239.8125,0.754309,0.00684158137244054,0.934273622958097
"366","DNK",2012,6,1636086,2767,262.335581931254,102.467339699993,1062807.07157743,7.52600002288818,5591572,28060.7074152513,0.00930437448884956,0.649603426456451,"Iq_GFCF",341593.90625,5.624075,0.0610908535649724,-0.388622881441524
"367","EST",2012,7,15676,592.93,7.39048110482761,106.88442839589,8993.23540759087,10.0209999084473,1322696,24993.8388879655,0.011874115013711,0.5736945271492,"Iq_GFCF",4734.13232421875,0.754595,0.00357915373163505,-0.461816488692506
"368","GRC",2012,8,168979,4105.22,12.5720766163529,95.8843423971915,105462.840603411,24.4389991760254,11045011,8122.8030378031,0.00183633173945446,0.624118030071259,"Iq_GFCF",24157.62109375,0.754309,0.0021871975585855,-0.34356952570992
"369","ESP",2012,9,953986,18342.6,19.1102218355316,103.985368373855,594947.525852203,24.7870006561279,46773055,11264.5413181753,0.000578097695279228,0.62364387512207,"Iq_GFCF",211763.531176205,0.754309,0.00452746845755971,0.135755059056433
"370","FIN",2012,10,172417,2537.6,27.0115967640505,98.8973797281341,119223.314948857,7.68900012969971,5413971,17794.1868617858,0.00779828215162891,0.691482365131378,"Iq_GFCF",41781.72265625,0.754309,0.00771738944598152,-0.396346006043481
"371","FRA",2012,11,1875325,27140,30.5879859332367,101.631247606329,1297794.59676296,9.39999961853027,65659809,12556.0138370476,0.000576670882800726,0.692037165164948,"Iq_GFCF",451221.65625,0.754309,0.00687211344538026,0.431933857544885
"372","IRL",2012,12,158535.6,1831.82,27.8354500522815,108.073033614609,86959.0730451107,15.451000213623,4599533,55271.8903119482,0.0099345919299324,0.548514485359192,"Iq_GFCF",34280.37890625,0.754309,0.00745301292680148,-0.420107239180223
"373","ITA",2012,13,1448021,24764.8,21.6418934714718,100.564672191762,950362.000638604,10.6549997329712,59539717,11835.5139902687,0.000541516929616234,0.656317830085754,"Iq_GFCF",284719.75,0.754309,0.00478201382784537,0.351968881282607
"374","LTU",2012,14,30165.2,1274.9,5.69545804063997,109.236329936467,14656.5474322081,13.3649997711182,2987773,21421.1174410235,0.00447664498434743,0.485876023769379,"Iq_GFCF",5577.5244140625,0.754846,0.00186678319071178,-0.438856857982845
"375","LUX",2012,15,39386.4,379.14,37.4659841611131,96.4080311240219,23095.5828856945,5.1399998664856,530946,196805.512924876,0.18522358729499,0.58638471364975,"Iq_GFCF",8534.720703125,0.754309,0.0160745550453813,-0.469014077221941
"376","LVA",2012,16,19363.8,868.63,5.34389450738112,106.728539697795,9924.33391692638,15.0469999313354,2034319,14710.174634795,0.00619900143662564,0.512519955635071,"Iq_GFCF",4934.6484375,0.754798,0.00242570041252134,-0.452534599186145
"377","NLD",2012,17,590316,8837,31.9172923298528,101.04819987014,404650.057145834,5.82100009918213,16754962,41424.5484562598,0.00278771499183778,0.685480415821075,"Iq_GFCF",123747.9453125,0.754309,0.00738574908809104,-0.184266445809985
"378","PRT",2012,18,147361.6,4581.45,11.0357972401854,103.958880357725,90955.3237651825,15.5270004272461,10514844,11406.8695678691,0.00176697079399912,0.617225408554077,"Iq_GFCF",26943.0546875,0.754309,0.00256238273126068,-0.327536467169424
"379","ROU",2012,19,521609.1,8645.3,16.2370480985682,112.820660524215,271304.219146925,6.79400014877319,20058035,8012.53500643181,0.000407969938386611,0.520129382610321,"Iq_GFCF",150758.484375,3.1779,0.00751611433398137,-0.190720338513538
"380","SWE",2012,20,3258046,4627,244.113559524099,100.966151065892,1869456.9800458,7.97599983215332,9519374,22079.8603020021,0.00498832033599938,0.573796987533569,"Iq_GFCF",829680.125,7.207524,0.0871570047568254,-0.326002952236473
"381","SVN",2012,21,31299.1,937.24,14.9811242605158,102.77226987191,23351.6095566928,8.84000015258789,2057159,23882.9974775934,0.00980498288691861,0.74607926607132,"Iq_GFCF",6696.67724609375,0.754309,0.00325530367175982,-0.450224731797565
"382","SVK",2012,22,66410.3,2209.43,8.23851148287411,104.041565493825,33563.7340861022,13.9630002975464,5407579,24803.1914755298,0.00301078959831571,0.505399525165558,"Iq_GFCF",15285.7646484375,0.754309,0.00282672978951163,-0.40739438355274
"383","GBR",2012,23,1514910,29694.53,19.6944740023792,99.4045816108444,1000255.7289362,7.88500022888184,63700215,12811.0560073313,0.000576873540309812,0.660274028778076,"Iq_GFCF",256903.5625,0.647179,0.00403300934698572,0.517936270314875
"384","USA",2012,24,15980277,146814.59375,35.1516036957651,100.199241638184,8985772,8.06900024414063,313830990,7526.53398909984,0.000162252967831099,0.562303894982546,"Iq_GFCF",2951491.5,1,0.00940471653229657,4.4609739587644
"385","AUT",2013,1,288624.2,4219.77,25.9470101937263,103.053883707464,188184.391964281,5.33500003814697,8479823,28452.4121500271,0.00532120362263766,0.652004897594452,"Iq_GFCF",69846.5625,0.754309,0.00823679485998705,-0.339713013403232
"386","BGR",2013,2,70470.7,3421.59,7.29144261345227,106.698890455415,43902.8908821762,12.9409999847412,7265115,11848.1918092749,0.000903707436630137,0.622994959354401,"Iq_GFCF",16202.9619140625,1.477392,0.00223024162921888,-0.366585043023065
"387","CYP",2013,3,16134,369.42,14.3713903595005,103.713654631758,9901.10839354992,15.871000289917,1143866,15415.1496677569,0.0163471655368942,0.613679707050323,"Iq_GFCF",2513.79174804688,0.754309,0.00219762782357975,-0.46934131685198
"388","CZE",2013,4,3668332,5080.93,222.501107803368,102.254604741167,2027318.0183177,6.95300006866455,10514272,25700.4020634537,0.00173746731946909,0.552653908729553,"Iq_GFCF",1016155.3125,19.09825,0.0966453324110314,-0.310720659513866
"389","DEU",2013,5,2542656,42319,27.9142940718157,103.519057756337,1683692.17776489,5.23099994659424,80645605,22784.2248326629,0.000518294869191562,0.662178516387939,"Iq_GFCF",543911.9375,0.754309,0.00674447091692102,0.942959613138153
"390","DNK",2013,6,1669456,2766,263.321650937667,103.258554251401,1080219.65268993,6.99700021743774,5614932,28307.1696886399,0.00941531537210322,0.647048890590668,"Iq_GFCF",350928.65625,5.624075,0.0624991818689879,-0.388656548070129
"391","EST",2013,7,16590.9,600.18,7.51036250475388,108.636826976691,9516.47685422301,8.63099956512451,1317997,24961.8686777865,0.0126568950506924,0.573596179485321,"Iq_GFCF",4804.20947265625,0.754595,0.00364508376927736,-0.461572405635121
"392","GRC",2013,8,160236.7,3997.71,11.9992188996478,95.669574079494,95664.0036985874,27.4659996032715,10965211,8377.46621309197,0.00176676471282708,0.59701681137085,"Iq_GFCF",22121.63671875,0.754309,0.00201743830727471,-0.347189024951229
"393","ESP",2013,9,935616,17861.9,19.4059646446875,105.68629339564,582984.990268707,26.0939998626709,46620045,11673.0746240994,0.000570693562662397,0.623102843761444,"Iq_GFCF",204466.377858264,0.754309,0.00438580395746646,0.119571510686074
